sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-0.46355724,1.2235792,0.7625915,0.5028895,1.2008023,-4.439602,2.6984277,1.0947847,-4.8916683,-1.939578
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,1.3407462,-1.9825758,-0.50059104,1.5195961,-1.0566224,-3.4298897,-0.69491285,-1.1883075,-0.78047985,-0.018525459
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-3.919108,0.5330124,5.212513,-4.7891445,-1.3830295,2.7648346,-3.1062062,2.654909,-0.36204752,3.6977265
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,8.764357,2.0688438,3.7284937,2.7697768,-0.016517395,2.9790127,-1.0191716,0.20797029,0.15076756,-0.3108568
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,4.1709146,0.5224514,1.7097044,1.9907227,-0.070301235,0.16122103,-0.5996231,0.5306866,-0.5616775,0.07229177
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,8.497834,2.8711467,-9.992002,-7.0774107,-0.82239854,1.5862596,-2.790837,5.307409,-3.8761842,-0.045312285
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,0.5259105,7.064497,0.3112085,-1.3273993,3.558211,0.17745113,-2.317734,-4.044352,4.9160323,-0.2920911
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-2.196494,-3.265616,4.2890835,-2.8821886,-1.5921879,-0.6121521,-1.1991054,2.6396403,-1.9692421,0.7866632
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-1.4055341,-2.0032532,1.9583375,-1.9577036,0.21897975,-0.7251736,-0.62084746,0.18058589,-0.6922559,0.6960015
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-2.442956,7.1581297,-0.52794397,-0.73009557,4.8549867,-1.6931763,1.0109367,-2.7380283,-0.011125267,2.4694083
PASD:ava_images___321917,PASD,ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___321917.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___321917.png,train,2.2897491,-1.2642932,-1.9733005,0.05007428,3.2703536,-1.8219762,0.3068321,1.8981347,2.5699496,-0.30462992
PASD:ava_images___360165,PASD,ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___360165.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___360165.png,train,0.75540906,-1.8232962,0.5047626,0.8694133,-0.18749799,-2.5538554,0.08077064,-0.30955583,-0.74965507,0.15630083
PASD:ava_images___426629,PASD,ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___426629.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___426629.png,test,3.5384803,2.0153613,-2.1147263,-1.4027698,-0.16884328,1.7293775,-1.8794023,1.4691606,-0.9884821,0.3075235
PASD:ava_images___436880,PASD,ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___436880.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___436880.png,train,-2.887035,3.4630656,-1.6254191,0.33066,-0.59045273,-1.8093784,-0.8967576,-0.80330503,-0.16968966,-5.982134
PASD:ava_images___46021,PASD,ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___46021.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___46021.png,train,-0.7600987,-2.1241493,0.5913119,-1.0671434,2.0642323,-0.94973505,3.314505,3.3001323,3.294322,3.5155358
PASD:ava_images___472713,PASD,ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___472713.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___472713.png,test,-1.4296895,-1.8318152,1.4522843,0.08895129,-0.9282246,-0.4557712,0.56002694,1.893657,0.31489342,-0.7528377
PASD:ava_images___501777,PASD,ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___501777.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___501777.png,test,-2.7779317,1.0839739,0.5486353,-1.7389066,-0.2846621,0.58206487,-0.17095931,-0.19544943,0.078603804,1.3415803
PASD:ava_images___564572,PASD,ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___564572.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___564572.png,train,1.2915351,-3.237988,-0.4467574,0.49721032,1.2629056,-2.0940056,1.2827871,1.1955693,1.3684235,-0.90904415
PASD:ava_images___588008,PASD,ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___588008.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___588008.png,train,9.951123,2.5136566,7.6117315,5.346303,-1.0767834,3.5878289,0.55924493,0.78812385,-0.70412755,-0.4689346
PASD:ava_images___645845,PASD,ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___645845.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___645845.png,test,1.6937585,-0.23620701,-0.52266693,1.1921198,-0.5682843,-1.3026106,-1.1436322,0.30081943,-0.51748806,0.58598346
PASD:ava_images___699615,PASD,ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___699615.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___699615.png,train,0.17751306,-3.8832378,-0.20275304,0.84025776,2.3993719,-1.2725873,1.3826121,4.1541057,4.504824,-0.99406856
PASD:ava_images___710191,PASD,ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___710191.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___710191.png,train,-2.1377773,-1.1372641,1.5728822,-2.6297011,-0.2960731,1.938329,-1.9538676,-1.1658916,-2.2126398,-0.8687307
PASD:ava_images___737450,PASD,ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___737450.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___737450.png,train,0.71862525,-2.1451783,0.6965872,0.9732163,-0.17206548,-2.8536358,-0.017742278,0.32930925,-0.4054543,0.018042525
PASD:ava_images___74410,PASD,ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___74410.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___74410.png,train,4.2211366,-1.3691663,-2.1721902,-6.241875,-6.6564736,1.992727,8.9691515,-6.0029716,2.0618923,1.3444616
PASD:ava_images___751927,PASD,ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___751927.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___751927.png,train,0.9405706,-2.2879398,0.044424474,0.9980994,-0.94385403,-2.717781,0.21456912,-1.2869112,-0.927054,0.4788078
PASD:ava_images___773899,PASD,ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___773899.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___773899.png,train,-2.306172,1.3100452,2.0400867,-4.532403,1.1965256,0.23440123,-1.7702978,-1.8153682,1.3778572,-3.291112
PASD:ava_images___827653,PASD,ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___827653.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___827653.png,test,-1.5512077,2.4669313,1.0361129,-1.7098,0.6548325,1.2172382,-0.14742431,-0.5207497,1.2395034,-0.34306931
