sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-0.46355724,1.2235792,0.7625915,0.5028895,1.2008023,-4.439602,2.6984277,1.0947847,-4.8916683,-1.939578,1.3553679,-0.87195426,1.5415871,1.6999403,7.0763693,1.2133262,-2.8717651,-3.070031,0.49941072,-0.18360066,-0.08314076,0.2053484,-0.89774716,-0.25011066,0.23517323
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,1.3407462,-1.9825758,-0.50059104,1.5195961,-1.0566224,-3.4298897,-0.69491285,-1.1883075,-0.78047985,-0.018525459,0.45187923,-0.41601217,-1.0773515,0.16226722,-0.85009,-0.22966775,-0.106220275,1.3773654,0.97003114,0.2791531,-1.3615558,-0.9823416,3.4167817,-1.0162393,2.2239285
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-3.919108,0.5330124,5.212513,-4.7891445,-1.3830295,2.7648346,-3.1062062,2.654909,-0.36204752,3.6977265,3.2230008,3.3695364,-2.366238,1.9829597,0.98468685,2.8549697,-2.9550138,2.9762878,2.1349113,0.24525028,0.019260615,0.4830199,0.3568397,0.11132226,-0.7731713
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,8.764357,2.0688438,3.7284937,2.7697768,-0.016517395,2.9790127,-1.0191716,0.20797029,0.15076756,-0.3108568,-0.6833585,-0.001675278,0.2863106,-0.8106556,0.4493129,-0.38785747,0.05598712,-1.4989735,0.7356287,0.6945372,-0.76746774,5.354517,3.1581502,-0.6126516,-2.093629
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,4.1709146,0.5224514,1.7097044,1.9907227,-0.070301235,0.16122103,-0.5996231,0.5306866,-0.5616775,0.07229177,-0.1450212,-0.10915673,0.08560461,-0.088770926,-0.40038097,-0.0579916,0.034766912,-0.042686254,0.17023684,0.35645354,-0.33560947,0.73263013,0.616212,-0.14642182,-0.7151146
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,8.497834,2.8711467,-9.992002,-7.0774107,-0.82239854,1.5862596,-2.790837,5.307409,-3.8761842,-0.045312285,-0.53118396,-0.19221184,-0.72313255,0.9001823,-0.50922763,-0.47507164,-0.62919915,0.120898634,-0.648236,-0.32459378,0.7891202,-1.0363333,-0.3777512,0.45270124,0.774917
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,0.5259105,7.064497,0.3112085,-1.3273993,3.558211,0.17745113,-2.317734,-4.044352,4.9160323,-0.2920911,1.6718218,-3.5225801,-3.8047428,-3.016401,0.36155257,-0.52332735,-2.9098501,-2.447682,-0.50492024,0.7769372,0.819275,-1.5110495,-0.5004221,0.9617131,0.7412262
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-2.196494,-3.265616,4.2890835,-2.8821886,-1.5921879,-0.6121521,-1.1991054,2.6396403,-1.9692421,0.7866632,-1.7835803,1.3795898,-3.301136,-3.647148,1.7959205,-3.507528,4.0092897,-2.965497,-0.6725819,-0.97678035,0.28762463,-1.1898,0.5259043,0.27464426,-0.6885666
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-1.4055341,-2.0032532,1.9583375,-1.9577036,0.21897975,-0.7251736,-0.62084746,0.18058589,-0.6922559,0.6960015,-1.7406154,-0.38513845,1.9094641,0.32944912,-1.2361844,-2.822105,-1.3206953,0.45430943,-1.5015202,4.63276,-3.329487,2.5698447,-2.4974115,3.1413753,2.0242808
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-2.442956,7.1581297,-0.52794397,-0.73009557,4.8549867,-1.6931763,1.0109367,-2.7380283,-0.011125267,2.4694083,-3.504793,1.9260333,-0.18586653,0.9217666,2.910491,-1.3922935,2.0247235,4.7336154,-2.0593371,-3.6903598,-1.4347385,1.3092864,0.09927867,-0.21517336,0.8179463
