sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-0.46355724,1.2235792,0.7625915,0.5028895,1.2008023
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,1.3407462,-1.9825758,-0.50059104,1.5195961,-1.0566224
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-3.919108,0.5330124,5.212513,-4.7891445,-1.3830295
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,8.764357,2.0688438,3.7284937,2.7697768,-0.016517395
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,4.1709146,0.5224514,1.7097044,1.9907227,-0.070301235
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,8.497834,2.8711467,-9.992002,-7.0774107,-0.82239854
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,0.5259105,7.064497,0.3112085,-1.3273993,3.558211
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-2.196494,-3.265616,4.2890835,-2.8821886,-1.5921879
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-1.4055341,-2.0032532,1.9583375,-1.9577036,0.21897975
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-2.442956,7.1581297,-0.52794397,-0.73009557,4.8549867
