sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,resnet_pca_000,resnet_pca_001,resnet_pca_002,resnet_pca_003,resnet_pca_004,resnet_pca_005,resnet_pca_006,resnet_pca_007,resnet_pca_008,resnet_pca_009,resnet_pca_010,resnet_pca_011,resnet_pca_012,resnet_pca_013,resnet_pca_014,resnet_pca_015,resnet_pca_016,resnet_pca_017,resnet_pca_018,resnet_pca_019,resnet_pca_020,resnet_pca_021,resnet_pca_022,resnet_pca_023,resnet_pca_024,resnet_pca_025,resnet_pca_026,resnet_pca_027,resnet_pca_028,resnet_pca_029,resnet_pca_030,resnet_pca_031,resnet_pca_032,resnet_pca_033,resnet_pca_034,resnet_pca_035,resnet_pca_036,resnet_pca_037,resnet_pca_038,resnet_pca_039,resnet_pca_040,resnet_pca_041,resnet_pca_042,resnet_pca_043,resnet_pca_044,resnet_pca_045,resnet_pca_046,resnet_pca_047,resnet_pca_048,resnet_pca_049,resnet_pca_050,resnet_pca_051,resnet_pca_052,resnet_pca_053,resnet_pca_054,resnet_pca_055,resnet_pca_056,resnet_pca_057,resnet_pca_058,resnet_pca_059,resnet_pca_060,resnet_pca_061,resnet_pca_062,resnet_pca_063,resnet_pca_064,resnet_pca_065,resnet_pca_066,resnet_pca_067,resnet_pca_068,resnet_pca_069,resnet_pca_070,resnet_pca_071,resnet_pca_072,resnet_pca_073,resnet_pca_074
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-0.46355724,1.2235792,0.7625915,0.5028895,1.2008023,-4.439602,2.6984277,1.0947847,-4.8916683,-1.939578,1.3553679,-0.87195426,1.5415871,1.6999403,7.0763693,1.2133262,-2.8717651,-3.070031,0.49941072,-0.18360066,-0.08314076,0.2053484,-0.89774716,-0.25011066,0.23517323,-0.25803694,-0.32766065,-0.24566936,-0.6036778,-0.0046792924,-0.14422692,0.02893123,0.08420205,-0.0042743087,-0.28639492,0.015038431,-0.07908028,-0.030297477,-0.06505835,0.21753724,-0.036706656,0.22704707,0.0021077245,0.0113390535,0.015777513,0.09696314,-0.12678494,-0.13737802,0.030361123,0.081761114,-0.050913483,-0.024849162,-0.06358324,0.046398956,-0.04960461,-0.06793401,0.049456693,-0.020457938,0.084308475,-0.039237604,-0.17853826,-0.0448132,0.08488295,-0.016210135,0.0182288,-0.03450322,0.0028015077,-0.034915507,-0.12885988,-0.06330584,-0.0075496137,-0.069793284,-0.013208235,-0.008670915,-0.034900248
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,1.3407462,-1.9825758,-0.50059104,1.5195961,-1.0566224,-3.4298897,-0.69491285,-1.1883075,-0.78047985,-0.018525459,0.45187923,-0.41601217,-1.0773515,0.16226722,-0.85009,-0.22966775,-0.106220275,1.3773654,0.97003114,0.2791531,-1.3615558,-0.9823416,3.4167817,-1.0162393,2.2239285,-1.1319596,-0.73261666,-0.8739758,-0.51713437,-0.21881145,-1.7624772,0.36718497,-0.24521741,-0.11893302,0.15009473,-0.001304388,-0.5345582,0.104218304,0.30968332,-0.10456531,-0.011508092,-0.37563202,-0.11861238,0.33723342,0.15972379,0.1753543,0.17057613,0.117145434,0.008206189,0.17023522,0.45736504,-0.17379387,0.2902205,-0.33421996,0.6281019,0.026574254,1.5227805,0.61279017,-1.1490806,-1.0699078,-0.20161349,-0.2816676,0.2645819,-0.49512157,0.23936844,0.100887805,0.2908777,0.2231983,0.095749795,-0.2560078,-0.43400067,0.09787645,-0.34631208,-0.21971743,-0.031259112
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-3.919108,0.5330124,5.212513,-4.7891445,-1.3830295,2.7648346,-3.1062062,2.654909,-0.36204752,3.6977265,3.2230008,3.3695364,-2.366238,1.9829597,0.98468685,2.8549697,-2.9550138,2.9762878,2.1349113,0.24525028,0.019260615,0.4830199,0.3568397,0.11132226,-0.7731713,-0.29395434,-0.06954011,0.054676592,0.22819203,0.2689631,-0.16515751,-0.37070927,-0.020448335,-0.10020262,0.09829156,-0.45561755,-0.53906286,-0.09180567,0.3625937,-0.41510093,-0.45263752,0.551381,0.2466006,0.18603723,0.24550036,-0.38154745,0.22190012,0.06359853,0.49510705,0.3791217,0.177634,-0.08987257,0.019243449,0.47618634,0.7756336,-0.113876075,0.49376968,-0.88453496,-0.588205,0.3338464,0.579649,0.22924219,1.3276055,2.3606443,-0.87951684,-0.15793952,-0.30907348,-0.012417018,0.14682132,0.17081833,-0.20865828,-0.19588032,-0.07360672,0.022379607,-0.033124067
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,8.764357,2.0688438,3.7284937,2.7697768,-0.016517395,2.9790127,-1.0191716,0.20797029,0.15076756,-0.3108568,-0.6833585,-0.001675278,0.2863106,-0.8106556,0.4493129,-0.38785747,0.05598712,-1.4989735,0.7356287,0.6945372,-0.76746774,5.354517,3.1581502,-0.6126516,-2.093629,1.5023935,-0.42265004,-0.33783275,-0.053782165,-0.18347079,-0.060903534,-0.12787443,0.12761986,-0.17454314,0.11708595,0.12108949,0.010182291,-0.07116777,-0.06594092,0.05218166,-0.019738138,0.002605781,-0.1376561,0.029783115,0.17780453,-0.10246304,-0.026857585,-0.08232018,-0.08063796,-0.046871252,0.059844285,0.05847963,-0.03934692,-0.04032015,-0.009674951,-0.08676359,0.0049887374,-0.099426165,-0.020851105,-0.086379424,-0.02102311,-0.0857362,0.06314184,-0.076269284,-0.056553215,0.009592384,-0.086518794,-0.11494079,0.06920987,0.03423861,-0.022800207,-0.09231998,-0.03292814,-0.13785627,-0.027713507
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,4.1709146,0.5224514,1.7097044,1.9907227,-0.070301235,0.16122103,-0.5996231,0.5306866,-0.5616775,0.07229177,-0.1450212,-0.10915673,0.08560461,-0.088770926,-0.40038097,-0.0579916,0.034766912,-0.042686254,0.17023684,0.35645354,-0.33560947,0.73263013,0.616212,-0.14642182,-0.7151146,0.42719108,-0.14443618,0.090459645,0.21391338,0.18079177,-0.20871304,0.2813106,0.34706828,-0.5745066,-0.016876653,0.07562542,0.014595628,0.072730176,-0.27558184,-0.076017454,-0.17535195,-0.14854953,-0.21235132,-0.48183924,0.12472233,-0.059229217,0.005018778,-0.23826897,-0.16388093,-0.05875402,-0.02425453,0.2185045,0.12349905,-0.04699952,0.06087464,-0.22038385,-0.08927457,-0.5460996,0.15128836,-0.13362952,-0.33281755,-0.22524391,0.44021463,0.10638034,0.028395325,-0.10306224,-0.2894475,-0.61187136,-0.20245707,0.05275925,-0.16870508,-0.4315302,0.15540184,-0.47944176,0.077780455
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,8.497834,2.8711467,-9.992002,-7.0774107,-0.82239854,1.5862596,-2.790837,5.307409,-3.8761842,-0.045312285,-0.53118396,-0.19221184,-0.72313255,0.9001823,-0.50922763,-0.47507164,-0.62919915,0.120898634,-0.648236,-0.32459378,0.7891202,-1.0363333,-0.3777512,0.45270124,0.774917,-0.02344516,-0.6734658,0.59746873,0.2508793,-0.1031391,0.73659897,-0.37435415,-1.9765172,-3.5891492,2.1844597,2.6105816,0.24409887,1.2122103,-0.16736352,0.2512908,0.33793217,0.42884672,-0.09726041,0.06971131,0.02699244,0.18946004,0.236896,-0.3847077,0.24306679,0.019502275,0.24847133,0.40070605,0.2924959,-0.59829277,-0.02268301,-0.09276244,-0.055233266,0.022678673,0.062304407,0.15433808,0.01802291,-0.026942447,0.05945176,0.098633304,-0.00022169948,-0.022243127,0.0044537187,0.15438056,0.09348148,0.07998824,-0.051167548,-0.048814245,-0.06464663,-0.22177117,0.15379925
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,0.5259105,7.064497,0.3112085,-1.3273993,3.558211,0.17745113,-2.317734,-4.044352,4.9160323,-0.2920911,1.6718218,-3.5225801,-3.8047428,-3.016401,0.36155257,-0.52332735,-2.9098501,-2.447682,-0.50492024,0.7769372,0.819275,-1.5110495,-0.5004221,0.9617131,0.7412262,-2.0193183,-0.47907537,0.46600366,0.31486082,-0.07592061,-0.3032769,-0.20772266,-0.27438313,-1.2103852,0.4701602,-0.05033216,-1.3519461,-1.3657786,-0.6643835,-0.10151741,-0.06699115,0.27426672,-0.5768708,-1.0429127,1.9619505,-1.945088,-0.6991066,0.10359369,-1.3061349,-0.9923519,0.24069391,0.21591824,-1.1784786,0.8489583,-0.11286497,-0.61032045,0.3698724,-0.09371024,-0.37060827,0.15182431,0.12966396,-0.034681424,-0.28526497,-0.23720825,-0.09797612,-0.08576175,-0.10339587,0.016349137,0.08615345,-0.019865032,0.030596882,0.05628638,-0.009641623,0.0721672,-0.014079861
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-2.196494,-3.265616,4.2890835,-2.8821886,-1.5921879,-0.6121521,-1.1991054,2.6396403,-1.9692421,0.7866632,-1.7835803,1.3795898,-3.301136,-3.647148,1.7959205,-3.507528,4.0092897,-2.965497,-0.6725819,-0.97678035,0.28762463,-1.1898,0.5259043,0.27464426,-0.6885666,-0.9948168,0.28381127,-0.3159122,-0.040324926,-0.1707775,0.15804145,-0.19668713,-0.07237657,-0.1881966,0.09629305,-0.20179513,-0.49158382,-0.08846925,0.3907078,-0.52724504,-0.27294424,0.07797171,0.24860647,-0.24548902,0.42058238,-0.019798785,-0.6011801,-0.23669851,1.1956246,0.17450598,0.26500398,0.562598,1.3317451,1.0633463,0.71684945,-0.8633429,-0.5659636,-0.38070464,-0.18607008,-0.99380386,0.11888896,-0.021916017,-1.5178924,0.4488116,0.43663833,1.6390676,-0.17714214,0.057358563,0.3840496,0.1998074,-0.051657647,-0.004807107,0.017696252,0.055815503,-0.084073246
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-1.4055341,-2.0032532,1.9583375,-1.9577036,0.21897975,-0.7251736,-0.62084746,0.18058589,-0.6922559,0.6960015,-1.7406154,-0.38513845,1.9094641,0.32944912,-1.2361844,-2.822105,-1.3206953,0.45430943,-1.5015202,4.63276,-3.329487,2.5698447,-2.4974115,3.1413753,2.0242808,-0.984956,1.4035497,-0.36097294,-1.1153121,0.21244563,-0.53229976,-0.33189532,0.31428173,-1.6152811,0.08792646,-2.2905993,1.0957847,0.92924994,0.39965296,-0.029162914,-0.20082587,0.4887678,-1.0890651,0.88376653,0.25502467,-0.31315368,-0.29251963,-0.055348873,-0.40792125,0.14929324,-0.51955724,-0.0890729,0.056517527,-0.060866993,-0.24897423,-0.016533166,-0.061043594,0.2356216,0.24476975,-0.063799426,-0.02178204,-0.058207348,-0.0051975176,0.012602378,-0.09970972,-0.009757936,0.3836602,0.8507153,0.27189523,0.9951366,-0.8996554,0.48178118,0.90993613,0.39055634,0.24686877
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-2.442956,7.1581297,-0.52794397,-0.73009557,4.8549867,-1.6931763,1.0109367,-2.7380283,-0.011125267,2.4694083,-3.504793,1.9260333,-0.18586653,0.9217666,2.910491,-1.3922935,2.0247235,4.7336154,-2.0593371,-3.6903598,-1.4347385,1.3092864,0.09927867,-0.21517336,0.8179463,0.78180754,0.56249225,-0.43365324,-0.20783538,0.08312237,-0.0076803416,-0.23337343,-0.47666132,-0.17427504,0.23383601,0.20721334,0.2882559,-0.4454034,0.037292033,0.097338036,-0.10347606,-0.044484906,0.57710516,-0.5731222,0.5222249,-0.2542966,0.40977347,-0.26711398,0.14183861,2.6136959,-0.92772526,-0.8103775,-0.62516165,-0.24923067,-0.09758186,-0.5503211,-0.040684562,0.058530748,-0.2548175,-0.10921184,0.12672974,-0.29936677,-0.40416628,-0.8319549,-1.5120844,0.31944844,-0.46856976,-0.3148082,0.024994433,0.1779252,0.013150096,-0.042803816,0.08369857,0.07966629,0.022186115
