sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-7.3816643,-9.20852,-7.3644357,-13.14092,-0.8371091,-3.4976454,-19.80998,-17.722431,-10.898783,-19.39642,-19.903042,-11.578336,-8.149983,-37.890705,18.623514,37.966072,-21.138012,-79.105995,-60.734207,60.880253,1.1449542,6.82026,-1.4039389,12.956038,-6.0696707
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,2.861929,30.581104,-8.964487,-14.658104,33.20649,-9.661657,8.11495,-12.527792,-26.274597,-13.929485,6.4983883,-7.783781,-13.759153,38.571877,20.575277,7.925587,-36.82349,-36.623898,132.6955,54.033035,-23.60558,34.434708,13.443787,11.559346,5.856936
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-18.736752,-15.305605,-2.6177034,-12.90662,-70.48456,191.32594,6.4101224,2.2940435,-25.10448,-24.01052,-2.4915252,2.6361208,21.674206,14.908625,3.5754516,-14.248058,-7.231373,1.3355993,3.4044957,5.33456,2.5078914,-3.3614695,-5.98557,-2.521968,3.5123172
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,-14.182974,-12.577772,-10.755374,-9.86645,1.3074956,-14.685114,-6.968535,-12.291353,-6.4771366,-11.092901,-3.1016204,-12.473085,-5.499052,0.14128658,-7.8277454,-2.3152661,-9.7179785,1.2613982,5.5605893,-9.434761,7.6326365,-9.751656,-5.320251,-11.021318,-3.397355
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,-11.754056,-11.92598,-10.6304035,-9.373965,1.0455245,-13.887875,-4.718609,-11.1628895,-4.726538,-11.389648,-2.7502935,-10.041831,-5.590891,-1.4798114,-7.038865,-2.3311415,-8.687068,0.39495432,3.7425766,-9.681961,6.0476227,-9.449566,-2.5282626,-11.439784,-0.29356086
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,-11.733833,-10.406605,-10.003293,-10.223551,0.23458675,-14.642545,-8.948766,-11.900168,-7.1732183,-12.332755,-3.888424,-12.661176,-6.7411895,-1.0402062,-2.2365086,-1.820091,-7.8919344,0.044879675,7.752136,-12.191145,10.107967,-10.712861,-5.846266,-6.606364,-3.6712675
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,2.5265808,-15.276693,-3.2475314,-5.3084145,-1.236049,-14.502726,-12.600833,-7.4588346,-9.478934,-18.022602,-2.9148345,-8.457108,-10.373168,-9.574165,-1.2039661,-0.5038029,-10.491636,1.1653513,8.798378,-24.376934,25.861229,-21.596691,-13.055202,9.015523,47.236103
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-28.772707,-0.2883606,15.280933,-16.8083,-20.601505,13.580701,30.794651,-1.303894,5.984211,136.30992,-75.24795,26.494167,-78.7152,-7.7913237,3.837972,-0.9683932,-15.779008,5.0206685,0.57986474,-2.2751913,2.8294883,0.0045819283,-4.03375,1.9966879,3.5719032
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-17.812654,-10.494265,-3.4296298,-8.28421,-1.3464671,-6.812884,-1.6066465,-11.175801,-6.407675,2.5423822,-3.862389,-12.439306,6.9709153,-0.98131704,3.8703268,2.5515263,-9.796772,-7.738232,2.7707968,-18.56196,-10.041407,-25.770912,1.061883,-78.48369,-55.342686
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-3.9292364,-13.030221,-10.581337,-10.484255,-3.0180714,-13.3378315,-15.870245,-3.937204,-9.92527,-19.284441,-7.3234663,-13.426668,-5.67341,-14.359194,2.8507116,-2.356086,-1.059288,-8.26991,-2.9799418,-16.85177,12.520026,-18.86893,27.107185,-21.870113,77.57241
