sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,set_type,vgg_pca_000,vgg_pca_001,vgg_pca_002,vgg_pca_003,vgg_pca_004,vgg_pca_005,vgg_pca_006,vgg_pca_007,vgg_pca_008,vgg_pca_009,vgg_pca_010,vgg_pca_011,vgg_pca_012,vgg_pca_013,vgg_pca_014,vgg_pca_015,vgg_pca_016,vgg_pca_017,vgg_pca_018,vgg_pca_019,vgg_pca_020,vgg_pca_021,vgg_pca_022,vgg_pca_023,vgg_pca_024,vgg_pca_025,vgg_pca_026,vgg_pca_027,vgg_pca_028,vgg_pca_029,vgg_pca_030,vgg_pca_031,vgg_pca_032,vgg_pca_033,vgg_pca_034,vgg_pca_035,vgg_pca_036,vgg_pca_037,vgg_pca_038,vgg_pca_039,vgg_pca_040,vgg_pca_041,vgg_pca_042,vgg_pca_043,vgg_pca_044,vgg_pca_045,vgg_pca_046,vgg_pca_047,vgg_pca_048,vgg_pca_049
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/1024x768___4962875195.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/1024x768___4962875195.png,train,-7.3816643,-9.20852,-7.3644357,-13.14092,-0.8371091,-3.4976454,-19.80998,-17.722431,-10.898783,-19.39642,-19.903042,-11.578336,-8.149983,-37.890705,18.623514,37.966072,-21.138012,-79.105995,-60.734207,60.880253,1.1449542,6.82026,-1.4039389,12.956038,-6.0696707,0.25319576,4.954581,-4.1542597,-1.3409557,-2.0712414,-2.688354,0.035449743,-0.9276198,1.1948527,0.51428103,1.0503402,-1.2739973,-0.32772493,-0.3637898,1.2482454,-0.11381006,0.1926055,-0.48226428,0.014345169,0.3475747,-1.0572069,-0.30944943,0.33066773,0.8554656,0.17890185
PASD:ava_images___101816,PASD,ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___101816.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___101816.png,train,2.861929,30.581104,-8.964487,-14.658104,33.20649,-9.661657,8.11495,-12.527792,-26.274597,-13.929485,6.4983883,-7.783781,-13.759153,38.571877,20.575277,7.925587,-36.82349,-36.623898,132.6955,54.033035,-23.60558,34.434708,13.443787,11.559346,5.856936,13.668397,10.277863,7.131891,-8.5509205,3.7433794,1.6221213,-4.272741,-3.9939904,4.5376096,10.738662,-13.008095,19.479088,10.049192,-9.997359,36.59019,23.426983,-24.450724,-15.507369,2.2270947,19.115381,-4.796332,4.5260143,4.1368885,1.4683206,-0.09320453
PASD:ava_images___158174,PASD,ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___158174.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___158174.png,train,-18.736752,-15.305605,-2.6177034,-12.90662,-70.48456,191.32594,6.4101224,2.2940435,-25.10448,-24.01052,-2.4915252,2.6361208,21.674206,14.908625,3.5754516,-14.248058,-7.231373,1.3355993,3.4044957,5.33456,2.5078914,-3.3614695,-5.98557,-2.521968,3.5123172,-0.9180412,-1.671493,-0.6223125,1.9168816,1.4247429,1.2162325,0.14337444,-1.6023324,1.7696162,-0.91037977,0.03659463,-0.47324085,-0.46933815,-0.7894361,-0.44494483,0.3733641,-1.9341996,3.0034626,-1.8828909,1.6556759,1.2948656,4.7274275,4.628848,0.15785229,-2.4116514
PASD:ava_images___18037,PASD,ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___18037.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___18037.png,train,-14.182974,-12.577772,-10.755374,-9.86645,1.3074956,-14.685114,-6.968535,-12.291353,-6.4771366,-11.092901,-3.1016204,-12.473085,-5.499052,0.14128658,-7.8277454,-2.3152661,-9.7179785,1.2613982,5.5605893,-9.434761,7.6326365,-9.751656,-5.320251,-11.021318,-3.397355,-13.914074,-14.166443,-1.6070356,46.762928,2.7496638,-2.147675,-2.037654,0.23312408,-2.51892,-8.00542,13.11639,-28.211678,8.415643,-2.7389915,21.725853,8.92012,-2.4447808,-7.1908255,7.925988,-12.969671,11.387773,1.5394275,-1.1997042,0.13876939,-0.8183352
PASD:ava_images___217590,PASD,ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___217590.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___217590.png,test,-11.754056,-11.92598,-10.6304035,-9.373965,1.0455245,-13.887875,-4.718609,-11.1628895,-4.726538,-11.389648,-2.7502935,-10.041831,-5.590891,-1.4798114,-7.038865,-2.3311415,-8.687068,0.39495432,3.7425766,-9.681961,6.0476227,-9.449566,-2.5282626,-11.439784,-0.29356086,-11.413852,-13.374817,-0.22851169,40.284615,2.1337085,-2.1456213,-3.5429072,-2.419536,-0.38378012,-1.0934105,3.9326043,-7.9913044,2.5693018,-1.3809285,6.964164,2.9448442,-2.183857,-1.1087706,0.9160223,-2.2395554,1.287323,0.69389653,-0.80313396,-1.0464044,-0.8089906
PASD:ava_images___251530,PASD,ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___251530.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___251530.png,train,-11.733833,-10.406605,-10.003293,-10.223551,0.23458675,-14.642545,-8.948766,-11.900168,-7.1732183,-12.332755,-3.888424,-12.661176,-6.7411895,-1.0402062,-2.2365086,-1.820091,-7.8919344,0.044879675,7.752136,-12.191145,10.107967,-10.712861,-5.846266,-6.606364,-3.6712675,-6.516676,-11.816345,-3.5653784,20.920965,1.9167635,-0.37912035,0.9247589,-0.1587578,-3.2430973,-2.134106,8.498245,-16.647268,-6.5154495,4.003229,-2.8834696,-6.4855213,4.4265475,2.0858636,-6.907266,43.457428,-28.559593,-2.9465802,10.964618,1.9308664,-7.7040043
PASD:ava_images___253900,PASD,ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___253900.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___253900.png,train,2.5265808,-15.276693,-3.2475314,-5.3084145,-1.236049,-14.502726,-12.600833,-7.4588346,-9.478934,-18.022602,-2.9148345,-8.457108,-10.373168,-9.574165,-1.2039661,-0.5038029,-10.491636,1.1653513,8.798378,-24.376934,25.861229,-21.596691,-13.055202,9.015523,47.236103,-50.879868,73.33188,1.4422212,-13.958559,5.906694,-2.3205698,-1.3811471,0.43339548,3.4888477,2.2754402,0.6736431,-1.0143147,-0.5478516,0.40186048,-0.48197618,0.68466794,-4.103915,0.5164058,-0.8209667,-2.6431751,-2.3638804,-1.4443254,-4.417098,-0.6189494,-5.992933
PASD:ava_images___273810,PASD,ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___273810.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___273810.png,train,-28.772707,-0.2883606,15.280933,-16.8083,-20.601505,13.580701,30.794651,-1.303894,5.984211,136.30992,-75.24795,26.494167,-78.7152,-7.7913237,3.837972,-0.9683932,-15.779008,5.0206685,0.57986474,-2.2751913,2.8294883,0.0045819283,-4.03375,1.9966879,3.5719032,4.425021,1.4340415,1.4257165,0.36923218,1.8977056,-1.3101492,2.5166552,-1.8684788,1.4463035,2.5847998,-1.2734566,-2.2565527,-6.6195335,0.9358999,-0.52444965,4.1696496,10.12342,0.98073477,-7.4310484,33.26964,46.94558,-1.8329687,-17.200933,23.513472,0.06399697
PASD:ava_images___295451,PASD,ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___295451.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___295451.png,train,-17.812654,-10.494265,-3.4296298,-8.28421,-1.3464671,-6.812884,-1.6066465,-11.175801,-6.407675,2.5423822,-3.862389,-12.439306,6.9709153,-0.98131704,3.8703268,2.5515263,-9.796772,-7.738232,2.7707968,-18.56196,-10.041407,-25.770912,1.061883,-78.48369,-55.342686,45.52178,49.6684,-8.791677,-11.45261,0.40357745,2.4547758,-1.6866786,0.3383926,0.26289415,0.42812693,0.88851213,0.6728668,0.56270325,2.2235057,-2.45815,1.9966208,-4.3278375,0.8203569,1.4393716,-10.125692,-0.8619919,2.9490979,2.2561014,-0.0656842,-28.832127
PASD:ava_images___308473,PASD,ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/sr/PASD/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/hr/ava_images___308473.png,/home/29o_rya@lab.graphicon.ru/QualiSR-Lab/dataset/lr/ava_images___308473.png,train,-3.9292364,-13.030221,-10.581337,-10.484255,-3.0180714,-13.3378315,-15.870245,-3.937204,-9.92527,-19.284441,-7.3234663,-13.426668,-5.67341,-14.359194,2.8507116,-2.356086,-1.059288,-8.26991,-2.9799418,-16.85177,12.520026,-18.86893,27.107185,-21.870113,77.57241,56.479263,-27.106348,-1.9350724,-13.624233,0.26196724,0.43841374,-2.5619879,0.25562835,-0.6793494,1.8920337,0.017402172,0.37538767,-2.8765852,-0.80052805,0.7626159,0.97783864,0.26231956,0.14451122,0.69350934,-1.5658503,-0.055764675,2.20103,-1.056726,-0.1161989,-0.70677674
