feature,feature_count,samples,mean_runtime_sec,total_runtime_sec,mean_flops,total_profiled_flops,flops_profiled_samples
area00,1,120,5.4381019435822966e-05,0.006525722332298756,332976.65,39957198.0,120
area05,1,120,4.865794132153193e-05,0.005838952958583832,332976.65,39957198.0,120
area075,1,120,4.81504558896025e-05,0.0057780547067523,332976.65,39957198.0,120
max,1,120,3.2800428258876005e-05,0.003936051391065121,332975.65,39957078.0,120
mean,1,120,9.056053434809049e-05,0.010867264121770859,332976.65,39957198.0,120
median,1,120,0.001129978592507541,0.13559743110090494,,,0
min,1,120,4.038625241567691e-05,0.004846350289881229,332975.65,39957078.0,120
p05,1,120,0.001940819543475906,0.23289834521710873,,,0
p95,1,120,0.0018602980223173897,0.22323576267808676,,,0
std,1,120,0.0003105840335289637,0.03727008402347565,998929.95,119871594.0,120
