sample_id,sr_method,sr_filename,sr_path,gt_path,lr_path,content_fidelity,perceptual_enhancement,final_rr_score
PASD:1024x768___4962875195,PASD,1024x768___4962875195.png,dataset/sr/PASD/1024x768___4962875195.png,dataset/hr/1024x768___4962875195.png,dataset/lr/1024x768___4962875195.png,0.9562805891036987,0.9620441198348999,0.9591623544692993
PASD:ava_images___101816,PASD,ava_images___101816.png,dataset/sr/PASD/ava_images___101816.png,dataset/hr/ava_images___101816.png,dataset/lr/ava_images___101816.png,0.8800148963928223,0.8905376195907593,0.8852762579917908
PASD:ava_images___158174,PASD,ava_images___158174.png,dataset/sr/PASD/ava_images___158174.png,dataset/hr/ava_images___158174.png,dataset/lr/ava_images___158174.png,0.923895001411438,0.9348785281181335,0.9293867647647858
PASD:ava_images___18037,PASD,ava_images___18037.png,dataset/sr/PASD/ava_images___18037.png,dataset/hr/ava_images___18037.png,dataset/lr/ava_images___18037.png,0.9586648344993591,0.9497929811477661,0.9542289078235626
PASD:ava_images___217590,PASD,ava_images___217590.png,dataset/sr/PASD/ava_images___217590.png,dataset/hr/ava_images___217590.png,dataset/lr/ava_images___217590.png,0.9428558349609375,0.9432713985443115,0.9430636167526245
PASD:ava_images___251530,PASD,ava_images___251530.png,dataset/sr/PASD/ava_images___251530.png,dataset/hr/ava_images___251530.png,dataset/lr/ava_images___251530.png,0.8903803825378418,0.9174228310585022,0.903901606798172
PASD:ava_images___253900,PASD,ava_images___253900.png,dataset/sr/PASD/ava_images___253900.png,dataset/hr/ava_images___253900.png,dataset/lr/ava_images___253900.png,0.9533849358558655,0.9660913944244385,0.959738165140152
PASD:ava_images___273810,PASD,ava_images___273810.png,dataset/sr/PASD/ava_images___273810.png,dataset/hr/ava_images___273810.png,dataset/lr/ava_images___273810.png,0.9289954900741577,0.9265167713165283,0.927756130695343
PASD:ava_images___295451,PASD,ava_images___295451.png,dataset/sr/PASD/ava_images___295451.png,dataset/hr/ava_images___295451.png,dataset/lr/ava_images___295451.png,0.7906875014305115,0.8018981218338013,0.7962928116321564
PASD:ava_images___308473,PASD,ava_images___308473.png,dataset/sr/PASD/ava_images___308473.png,dataset/hr/ava_images___308473.png,dataset/lr/ava_images___308473.png,0.9213612079620361,0.9303610324859619,0.925861120223999
PASD:ava_images___321917,PASD,ava_images___321917.png,dataset/sr/PASD/ava_images___321917.png,dataset/hr/ava_images___321917.png,dataset/lr/ava_images___321917.png,0.9026102423667908,0.9107776880264282,0.9066939651966095
PASD:ava_images___360165,PASD,ava_images___360165.png,dataset/sr/PASD/ava_images___360165.png,dataset/hr/ava_images___360165.png,dataset/lr/ava_images___360165.png,0.9429135322570801,0.9481611251831055,0.9455373287200928
PASD:ava_images___426629,PASD,ava_images___426629.png,dataset/sr/PASD/ava_images___426629.png,dataset/hr/ava_images___426629.png,dataset/lr/ava_images___426629.png,0.8922502994537354,0.8792808651924133,0.8857655823230743
PASD:ava_images___436880,PASD,ava_images___436880.png,dataset/sr/PASD/ava_images___436880.png,dataset/hr/ava_images___436880.png,dataset/lr/ava_images___436880.png,0.8791902661323547,0.8805831670761108,0.8798867166042328
PASD:ava_images___46021,PASD,ava_images___46021.png,dataset/sr/PASD/ava_images___46021.png,dataset/hr/ava_images___46021.png,dataset/lr/ava_images___46021.png,0.965679407119751,0.9656356573104858,0.9656575322151184
